cam_sd,ForestType,Forest,Season,div_shan,ForestSimpson,ForestShannon,ForestSR,meanTreeDensity,meanTreeDominance,meanSeedlingSaplingDensity,meanSSDominance,MeanAllDensity,meanAllDominance,NumDeer,RoadDensity50,Aspect50,Slope50,P_Water50,P_Mixed50,P_Evergreen50,P_Deciduous50,P_Forest50,P_Development50,P_Agriculture50,P_Shrub50,P_Wetland50,P_Herb50,Elevation50,Cam_Model
C21-SD21,Deciduous,DON,Winter,0.500402424,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,0,296.565063,3.199601412,0,9.856631,8.243728,80.286738,98.387097,0,0.896057,0,0,0,257,Bushnell HD
C22-SD18,Pine,WF,Winter,0.454413145,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,97,0,300.963745,16.25391769,0,1.25448,1.25448,98.207885,100.716845,0,0,0,0,0,231,Bushnell HD
C23-SD3,Deciduous,SH,Winter,0.904996116,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,20,0,288.434937,8.984876633,1.25448,2.150538,15.591398,58.960573,76.702509,0,0,0,22.580645,0,126,Bushnell HD
C24-SD4,Deciduous,BC,Winter,0.436162325,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,16,0.469279342,315,1.012750387,9.856631,0.358423,23.476703,62.903226,86.738352,0,0,0,3.046595,0,255,Bushnell HD
C25-SD9,Deciduous,SH,Winter,1.565445107,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,7,0,231.340195,9.094640732,0,0,0.537634,73.835125,74.372759,0,0,0.896057,23.11828,1.971326,113,Browning 
C27-SD8,Deciduous,DON,Winter,0.79631164,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,5,0.054430636,315,1.012750387,1.25448,3.225806,51.612903,31.72043,86.559139,0,0,0,10.035842,2.150538,256,Browning 
C28-SD15,Pine,DEG,Winter,0,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,0,78.6900711,10.82504368,0,4.83871,6.451613,83.691756,94.982079,0,0,0,5.197133,0,266,Bushnell HD
C29-SD19,Pine,DEG,Winter,0.204033461,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,148,0,315,4.044691086,5.376344,0,0,90.143369,90.143369,0,0,2.150538,3.046595,0,142,Bushnell HD
C30-SD20,Deciduous,BC,Winter,0,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,0,303.690063,5.150652409,0,2.508961,3.942652,91.935484,98.387097,0,0,2.508961,0,0,262,Bushnell HD
C31-SD6,Pine,WHIP,Winter,0.752916809,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,4,0,0,2.8624053,1.971326,2.508961,59.498208,32.97491,94.982079,0,0,1.612903,0,1.433692,125,Bushnell HD
C32-SD17,Pine,WHIP,Winter,0.425227591,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,18,0,23.19859,5.438007832,8.960573,1.792115,50.179211,35.125448,87.096774,0,0,1.612903,2.867384,0,121,Browning 
C33-SD1,Pine,WF,Winter,1.002204018,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,47,0,349.69516,15.61612988,3.942652,0,0.537634,93.727599,94.265233,0,0,0,1.792114,0,195,Browning 
C2-SD42,Pine,WHIP,Spring,0.663179453,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,18,0.729647265,315,1.012750387,6.272401,0,66.129032,16.487455,82.616487,0,0,1.612903,9.498208,0,251,Bushnell HD
C3-SD7,Deciduous,SH,Spring,0,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,28,0,166.429565,20.45103073,1.612903,0,0,81.003584,81.003584,0,0,0,18.100358,0,145,Bushnell HD
C4-SD36,Pine,WF,Spring,0.437494957,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,29,1.053959516,108.434952,8.984876633,1.075269,2.867384,0,84.946237,87.813621,0,0,0,10.035842,0,279,Browning 
C6-SD9,Deciduous,DON,Spring,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,1.025270355,289.798889,18.37304306,0,3.942652,22.939068,56.272401,83.154121,4.301075,0.896057,0.179211,12.18638,0,111,Browning 
C8-SD11,Pine,DEG,Spring,0,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,5,1.542222632,315,1.012750387,0,0,25.806452,58.602151,84.408603,4.301075,0,2.867384,8.781362,0,199,Bushnell HD
C9-SD34,Pine,WF,Spring,NA,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,NA,0,87.5104446,16.05431557,2.150538,1.25448,37.275986,50.179211,88.709677,0,7.526882,1.612903,0.358423,0,117,Bushnell HD
C10-SD25,Deciduous,SH,Spring,0,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,3,2.441356311,NA,0,0,0,84.767025,1.075269,85.842294,1.792115,0,0,7.526882,5.555556,251,Browning 
C11-SD21,Deciduous,BC,Spring,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,0,135,1.012750387,2.329749,0,2.150538,82.97491,85.125448,0,0,0,13.082437,0,147,Bushnell HD
C14-SD5,Deciduous,DON,Spring,1.011404265,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,2,1.610240456,225,1.012750387,0,0.537634,60.9319,24.551971,86.021505,0,0,8.064516,3.584229,1.971326,254,Bushnell HD
C15-SD35,Pine,DEG,Spring,0.801818553,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,7,0.661620612,333.434937,6.379370213,0,0.896057,17.741935,58.422939,77.060931,2.867384,0,0,20.250896,0,99,Browning 
C17-SD8,Deciduous,BC,Spring,1.748745878,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,13,1.23360469,NA,0,0,1.433692,58.602151,18.817204,78.853047,0,0,8.243728,13.261649,0,250,Browning 
C18-SD40,Pine,WHIP,Spring,1.054850691,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,42,0,293.962494,13.83230305,0,3.942652,0,96.057348,100,0,0,0,0,0,223,Bushnell HD
C21-SD1,Deciduous,DON,Spring,0.348832096,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,8,0,265.601288,9.256682396,16.129032,0,13.620072,57.885305,71.505377,0,0,3.046595,10.035842,0,122,Bushnell HD
C22-SD31,Pine,WF,Spring,0.74078806,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,60,0.267861281,90,14.03624344,4.480287,0,10.215054,67.02509,77.240144,1.433692,0,13.082437,0,3.763441,121,Bushnell HD
C23-SD16,Deciduous,SH,Spring,0.63903186,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,8,0,225,1.012750387,0,13.620072,31.362007,31.003584,75.985663,0,0,0.537634,23.11828,0,231,Bushnell HD
C24-SD18,Deciduous,BC,Spring,1.123819294,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,28,0,NA,0,3.046595,7.526882,15.412186,70.071685,93.010753,0,0,0.896057,3.225806,0,277,Browning 
C25-SD6,Deciduous,SH,Spring,0.376770161,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,7,0,225,1.012750387,0,1.075269,70.071685,28.136201,99.283155,0,0,1.612903,0,0,132,Browning 
C27-SD3,Deciduous,DON,Spring,0,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,4,0,108.434952,2.263636112,0,5.017921,12.18638,35.483871,52.688172,0,0,0,47.491039,0,246,Browning 
C28-SD38,Pine,DEG,Spring,0.610864302,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,7,0,90,2.8624053,1.971326,3.225806,47.670251,37.634409,88.530466,0,0,3.405018,6.630824,0,130,Bushnell HD
C29-SD12,Pine,DEG,Spring,0.314492201,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,19,0,335.556,8.588925362,NA,4.121864,45.878136,43.189964,93.189964,0,0,0,6.989247,0,258,Bushnell HD
C30-SD22,Deciduous,BC,Spring,1.230779542,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,39,0,98.1301041,5.051152706,0,0,0,100,100,0,0,0,0,0,274,Bushnell HD
C31-SD41,Pine,WHIP,Spring,0.73562194,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,6,0,NA,0,4.301075,0,0,87.992832,87.992832,0,0,0,6.09319,1.612903,140,Bushnell HD
C32-SD39,Pine,WHIP,Spring,0.636514168,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,2,0.513261553,180,11.30993271,0,1.075269,28.494624,65.949821,95.519714,1.792115,0,2.867384,0.358423,0.537634,119,Browning 
C33-SD32,Pine,WF,Spring,0,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,3,0,NA,0,0,0,8.781362,34.408602,43.189964,0,11.648746,41.577061,2.508961,0,196,Browning 
C1-SD12,Deciduous,DON,Summer,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,0.820084703,206.565048,6.379370213,1.792115,1.971326,30.645161,58.602151,91.218638,0,0,0,7.168459,0,276,Bushnell HD
C3-SD5,Deciduous,SH,Summer,1.039720771,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,1,0,258.690063,3.64697051,4.121864,1.612903,30.824373,49.283154,81.72043,0,0,3.584229,8.064516,2.508961,134,Bushnell HD
C4-SD11,Pine,WHIP,Summer,NA,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,NA,0.905170002,296.565063,3.199601412,1.25448,1.25448,63.261649,27.419355,91.935484,0,0,0,4.121864,2.150538,262,Bushnell HD
C6-SD41,Deciduous,DON,Summer,0.421126771,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,37,0.44764805,124.380348,16.05431557,0,2.867384,3.225806,91.397849,97.491039,0,0,0,2.329749,0,257,Browning 
C6-SD42,Pine,WF,Summer,NA,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,NA,0.698624119,59.0362434,4.168739796,0,3.046595,69.892473,10.035842,82.97491,0.179211,0,0,17.383513,0,250,Browning 
C7-SD9,Deciduous,DON,Summer,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,0,NA,0,0.179211,0,68.458781,17.204301,85.663082,0,0,0,13.261649,1.433692,250,Browning 
C8-SD21,Pine,DEG,Summer,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,0,258.690063,14.30291462,0.537634,8.243728,37.275986,39.784946,85.30466,0,0,6.451613,2.508961,4.659498,210,Browning 
C10-SD1,Deciduous,SH,Summer,NA,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,NA,0.520525552,0,3.035723686,0,5.197133,69.713262,20.430108,95.340503,0,0,3.584229,0,0,253,Bushnell HD
C11-SD31,Deciduous,BC,Summer,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,0.688304954,251.565048,2.263636112,1.075269,0,1.25448,92.293907,93.548387,0,0,3.046595,2.867384,0,286,Bushnell HD
C14-SD17,Pine,WF,Summer,0.90743016,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,19,0,NA,0,1.971326,0,1.971326,83.512545,85.483871,0,0,1.792115,10.035842,0,144,Bushnell HD
C15-SD16,Pine,WHIP,Summer,1.712071491,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,14,0,333.434937,3.199601412,3.405018,0,0.179211,85.663082,85.842293,0,0,0,10.9319,0,113,Browning 
C17-SD7,Deciduous,BC,Summer,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,0,177.709396,17.36706734,1.433692,0,0,95.698925,95.698925,0,0,0,3.0465595,0,236,Browning 
C18-SD18,Pine,DEG,Summer,0,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,0,333.434937,3.199601412,0,5.197133,60.394265,30.286738,95.878136,0,0,4.121864,0,0,265,Browning 
C21-SD40,Pine,WF,Summer,NA,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,2,0.714961978,78.6900711,10.82504368,3.046595,0.179211,8.422939,85.304659,93.906809,0,0,0,3.225806,0,255,Bushnell HD
C22-SD22,Pine,WHIP,Summer,NA,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,NA,0.888699578,336.801422,5.438007832,0,1.075269,47.132616,49.462366,97.670251,0,0,0,1.433692,0.896057,254,Bushnell HD
C23-SD32,Deciduous,SH,Summer,1.799644894,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,10,0,153.434952,18.54197884,0,0,0,49.641577,49.641577,0,4.659498,18.996416,25.985663,0,156,Bushnell HD
C24-SD25,Deciduous,BC,Summer,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,0.746943063,14.0362425,5.885129452,0,4.83871,15.949821,76.702509,97.49104,1.25448,0,0,0.537634,0,212,Browning 
C25-SD38,Deciduous,SH,Summer,1.039720771,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,NA,0,278.130096,5.051152706,2.150538,0,14.695341,80.107527,94.802868,0,0,3.584229,0,0,102,Browning 
C27-SD35,Pine,DEG,Summer,0.693147181,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,1,0,245.556046,8.588925362,0,0,0,89.605735,89.605735,0,0,4.301075,3.225806,3.584229,128,Browning 
C28-SD8,Pine,DEG,Summer,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,0.968969565,333.434937,6.379370213,2.688172,3.225806,9.677419,71.326165,84.22939,0,0,0,12.903225,0,257,Browning 
C30-SD6,Deciduous,BC,Summer,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,0.787470647,0,5.710593224,5.913978,0.179211,4.121864,83.154122,87.455197,0,0,1.971326,5.197133,0,305,Bushnell HD
C31-SD3,Pine,WHIP,Summer,1.037392325,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,11,0.3535004,237.528809,9.256682396,0,0.716846,0,98.566308,99.283154,0,0,0,0.896057,0,270,Bushnell HD
C32-SD26,Pine,WF,Summer,1.298169632,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,18,0,108.434952,6.762860775,4.121864,0,0,80.46595,80.46595,0,0,0,8.064516,7.885305,131,Browning 
C33-SD23,Deciduous,DON,Summer,1.212153251,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,14,0.599027752,206.565048,3.199601412,1.075269,2.688172,13.978495,60.573477,77.240144,4.121864,0,8.243728,6.451613,3.405018,200,Browning 
C1-SD23,Pine,DEG,Fall,1.721241237,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,12,0,15.2551184,8.111279488,0.358423,1.25448,48.028674,50,99.283154,0,0,0,0.358423,0,127,Bushnell HD
C2-SD7,Deciduous,SH,Fall,1.351783994,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,NA,0,189.462326,8.646670341,3.942652,0.716846,6.630824,86.55914,93.90681,0,0,0,2.867384,0,251,Bushnell HD
C3-SD39,Pine,WF,Fall,0.598269589,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,5,0,270,4.289153576,0.358423,4.121864,3.942652,86.55914,94.623656,0,0,0,4.301075,0,279,Bushnell HD
C4-SD12,Deciduous,BC,Fall,1.120950393,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,6,0,NA,0,2.508961,0,0.716846,88.172043,88.888889,0,0,0,8.064516,0,140,Bushnell HD
C5-SD34,Pine,WF,Fall,0.519579839,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,11,0,341.5651,4.520227432,2.150538,10.9319,58.243728,17.383513,86.559141,0,0,0,10.394265,0,222,Browning 
C6-SD5,Pine,DEG,Fall,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,0,0,2.8624053,0,0,1.612903,91.577061,93.189964,0,0,0,6.451613,0,138,Browning 
C7-SD42,Pine,WHIP,Fall,1.735000213,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,7,0,220.236359,12.01703548,6.451613,0,0,85.304659,85.304659,0,0,1.792115,6.09319,0,144,Browning 
C10-SD35,Deciduous,DON,Fall,1.546598686,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,2,0.676785306,315,1.012750387,0,2.329749,57.706093,29.21147,89.247312,0,4.83871,6.451613,0,0,263,Bushnell HD
C14-SD25,Deciduous,DON,Fall,1.054920168,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,2,1.053959516,108.434952,8.984876633,1.075269,2.867384,0,84.946237,87.813621,0,0,0,10.035842,0,279,Browning 
C15-SD6,Deciduous,SH,Fall,0.919312403,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,141,0,270,2.8624053,0,11.648746,57.34767,22.759857,91.756273,0,0,1.075269,7.168459,0,238,Browning 
C17-SD26,Pine,WHIP,Fall,1.72213996,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,7,0,296.565063,3.199601412,6.09319,0,0,89.605735,89.605735,0,0,1.792115,3.225806,0,147,Browning 
C18-SD11,Deciduous,BC,Fall,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,1.114233878,258.690063,3.64697051,0,9.856631,46.774194,40.501792,97.132617,0,0,0.358423,2.688172,0,215,Browning 
C21-SD40,Deciduous,DON,Fall,1.559581156,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,0.763104644,258.690063,3.64697051,0,12.724014,22.222222,63.978495,98.924731,0,0,0,0,0,250,Bushnell HD
C23-SD24,Deciduous,SH,Fall,1.08693416,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,2,1.280475657,131.185928,14.88256741,0,5.376344,21.326165,66.308244,93.010753,5.734767,0,0,1.075269,0,227,Bushnell HD
C27-SD41,Deciduous,BC,Fall,1.263654432,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,4,0.015118817,305.537689,6.137379646,0,4.121864,5.376344,84.587814,94.086022,0,0,0,6.272401,0,273,Browning 
C28-SD1,Deciduous,SH,Fall,0.897604113,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,15,0.723268761,0,2.8624053,0,2.688172,27.240143,38.351254,68.279569,1.075269,4.659498,1.612903,24.910394,0,210,Browning 
C30-SD17,Deciduous,DON,Fall,0,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,9,0.820708428,302.471191,9.256682396,0,1.433692,78.853047,15.232975,95.519714,0,0,0,1.792115,3.225806,260,Bushnell HD
C31-SD15,Pine,WHIP,Fall,1.064030442,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,68,0,180,11.30993271,0,1.612903,13.261649,76.164875,91.039427,0,0,9.498208,0,0,189,Bushnell HD
C32-SD13,Pine,WHIP,Fall,0.282600107,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,43,0,295.016907,11.69020844,0,0,3.405018,96.774194,100.179212,0,0,0,0.896057,0,227,Browning 
C33-SD38,Pine,DEG,Fall,1.479834859,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,15,0.247407766,98.1301041,5.051152706,2.329749,1.075269,46.415771,33.870968,81.362008,0,0,1.971326,14.516129,0.537634,249,Browning 
C34-SD21,Pine,WF,Fall,0.89380776,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,77,0.983261847,296.565063,3.199601412,0,0.716846,40.501792,57.526882,98.74552,0,0,0,1.433692,0,350,Browning 
C35-SD16,Deciduous,BC,Fall,0.672396262,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,27,0,71.5650482,2.263636112,2.688172,0,0,82.616487,82.616487,0,0,0,14.874552,0,142,Browning 
C36-SD32,Pine,WF,Fall,1.906882424,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,17,0,NA,0,2.150538,7.168459,43.010753,30.645161,80.824373,0,0.179211,0,17.383513,0,222,Browning 
C37-SD31,Pine,DEG,Fall,1.923162474,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,12,0,NA,0,1.612903,0,6.630824,75.448029,82.078853,0,0,0,17.204301,0,249,Browning 
