Forest,Plot,Year,Date,Quadrant,DBH_cm
Peavine Swamp,2,2021,20-Oct-21,1,32.9
Peavine Swamp,2,2021,20-Oct-21,1,34.9
Peavine Swamp,2,2021,20-Oct-21,1,10.8
Peavine Swamp,2,2021,20-Oct-21,1,38.6
Peavine Swamp,2,2021,20-Oct-21,2,29.8
Peavine Swamp,2,2021,20-Oct-21,2,15.6
Peavine Swamp,2,2021,20-Oct-21,2,18
Peavine Swamp,2,2021,20-Oct-21,3,11
Peavine Swamp,2,2021,20-Oct-21,3,17.3
Peavine Swamp,2,2021,20-Oct-21,3,14.8
Peavine Swamp,2,2021,20-Oct-21,3,43.9
Peavine Swamp,2,2021,20-Oct-21,4,14
Peavine Swamp,2,2021,20-Oct-21,4,10.5
Peavine Swamp,2,2021,20-Oct-21,4,15.7
Peavine Swamp,2,2021,20-Oct-21,4,10.2
Peavine Swamp,3,2021,20-Oct-21,2,24.7
Peavine Swamp,3,2021,20-Oct-21,2,29.3
Peavine Swamp,3,2021,20-Oct-21,2,13.3
Peavine Swamp,3,2021,20-Oct-21,2,28.7
Peavine Swamp,3,2021,20-Oct-21,2,11.3
Peavine Swamp,3,2021,20-Oct-21,3,42
Peavine Swamp,3,2021,20-Oct-21,3,17.8
Peavine Swamp,3,2021,20-Oct-21,3,36.5
Peavine Swamp,3,2021,20-Oct-21,3,10.1
Peavine Swamp,3,2021,20-Oct-21,3,41
Peavine Swamp,3,2021,20-Oct-21,4,10.4
Peavine Swamp,3,2021,20-Oct-21,4,11.1
Peavine Swamp,3,2021,20-Oct-21,4,14.1
Peavine Swamp,3,2021,20-Oct-21,4,12.2
Peavine Swamp,3,2021,20-Oct-21,4,32.8
Peavine Swamp,3,2021,20-Oct-21,4,29.4
Peavine Swamp,3,2021,20-Oct-21,4,31.5
Peavine Swamp,3,2021,20-Oct-21,1,11.5
Peavine Swamp,3,2021,20-Oct-21,1,29.1
Peavine Swamp,3,2021,20-Oct-21,1,41.9
Peavine Swamp,3,2021,20-Oct-21,1,41.1
Peavine Swamp,1,2021,27-Oct-21,1,74.3
Peavine Swamp,1,2021,27-Oct-21,1,18.7
Peavine Swamp,1,2021,27-Oct-21,4,56.4
Peavine Swamp,1,2021,27-Oct-21,4,13.1
Peavine Swamp,1,2021,27-Oct-21,4,35.5
Peavine Swamp,1,2021,27-Oct-21,4,14.4
Peavine Swamp,1,2021,27-Oct-21,4,12.2
Peavine Swamp,1,2021,27-Oct-21,4,14.2
Peavine Swamp,1,2021,27-Oct-21,4,53.2
Peavine Swamp,1,2021,27-Oct-21,4,17
Peavine Swamp,1,2021,27-Oct-21,4,32.4
Peavine Swamp,1,2021,27-Oct-21,4,43.5
Peavine Swamp,1,2021,27-Oct-21,4,11.3
Peavine Swamp,1,2021,27-Oct-21,3,14.2
Peavine Swamp,1,2021,27-Oct-21,3,14.9
Peavine Swamp,1,2021,27-Oct-21,3,15.3
Peavine Swamp,1,2021,27-Oct-21,3,25.6
Peavine Swamp,1,2021,27-Oct-21,3,10.2
Peavine Swamp,1,2021,27-Oct-21,2,11.6
Peavine Swamp,1,2021,27-Oct-21,2,50.8
Peavine Swamp,1,2021,27-Oct-21,2,12.8
Peavine Swamp,1,2021,27-Oct-21,2,25.3
Peavine Swamp,1,2021,27-Oct-21,2,20.6
Degrasse,1,2021,27-Oct-21,1,36.8
Degrasse,1,2021,27-Oct-21,1,41.9
Degrasse,1,2021,27-Oct-21,1,37
Degrasse,1,2021,27-Oct-21,2,28.7
Degrasse,1,2021,27-Oct-21,2,13.8
Degrasse,1,2021,27-Oct-21,2,12.8
Degrasse,1,2021,27-Oct-21,2,35.2
Degrasse,1,2021,27-Oct-21,2,15.7
Degrasse,1,2021,27-Oct-21,3,37.7
Degrasse,1,2021,27-Oct-21,3,16.6
Degrasse,1,2021,27-Oct-21,3,37.8
Degrasse,1,2021,27-Oct-21,3,37.2
Degrasse,1,2021,27-Oct-21,4,35.6
Degrasse,1,2021,27-Oct-21,4,10.2
Degrasse,1,2021,27-Oct-21,4,37.8
Degrasse,2,2021,27-Oct-21,1,37.2
Degrasse,2,2021,27-Oct-21,1,42.2
Degrasse,2,2021,27-Oct-21,1,34.4
Degrasse,2,2021,27-Oct-21,1,24.9
Degrasse,2,2021,27-Oct-21,2,36.6
Degrasse,2,2021,27-Oct-21,3,39.2
Degrasse,2,2021,27-Oct-21,3,41
Degrasse,2,2021,27-Oct-21,3,34.5
Degrasse,2,2021,27-Oct-21,3,40.3
Degrasse,2,2021,27-Oct-21,4,37.2
Degrasse,2,2021,27-Oct-21,4,33.8
Degrasse,2,2021,27-Oct-21,4,38.8
Degrasse,2,2021,27-Oct-21,4,21.7
Degrasse,2,2021,27-Oct-21,4,36.1
Degrasse,3,2021,27-Oct-21,1,39.8
Degrasse,3,2021,27-Oct-21,1,11.4
Degrasse,3,2021,27-Oct-21,2,21.3
Degrasse,3,2021,27-Oct-21,2,37.3
Degrasse,3,2021,27-Oct-21,2,34.5
Degrasse,3,2021,27-Oct-21,2,41.3
Degrasse,3,2021,27-Oct-21,2,10.7
Degrasse,3,2021,27-Oct-21,3,33.7
Degrasse,3,2021,27-Oct-21,3,36.5
Degrasse,3,2021,27-Oct-21,3,11.8
Degrasse,3,2021,27-Oct-21,3,35.7
Degrasse,3,2021,27-Oct-21,4,37.5
Degrasse,3,2021,27-Oct-21,4,40.8
Degrasse,3,2021,27-Oct-21,4,15.1
Degrasse,3,2021,27-Oct-21,4,32.3
